rho_y,rho_x
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1.00001,1.00001
1.00001,1.00001
1.00002,1.00002
1.00003,1.00003
1.00004,1.00004
1.00007,1.00007
1.00011,1.00011
1.00016,1.00016
1.00024,1.00024
1.00035,1.00035
1.00049,1.00049
1.00066,1.00066
1.00088,1.00088
1.00115,1.00115
1.00145,1.00145
1.00179,1.00179
1.00215,1.00215
1.00253,1.00253
1.0029,1.0029
1.00324,1.00324
1.00353,1.00353
1.00375,1.00375
1.00389,1.00389
1.00394,1.00394
1.00389,1.00389
1.00375,1.00375
1.00353,1.00353
1.00324,1.00324
1.0029,1.0029
1.00253,1.00253
1.00215,1.00215
1.00179,1.00179
1.00145,1.00145
1.00115,1.00115
1.00088,1.00088
1.00066,1.00066
1.00049,1.00049
1.00035,1.00035
1.00024,1.00024
1.00016,1.00016
1.00011,1.00011
1.00007,1.00007
1.00004,1.00004
1.00003,1.00003
1.00002,1.00002
1.00001,1.00001
1.00001,1.00001
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
