u_y,u_x
0.390586,-0.179261
1.14462,-0.534752
1.85217,-0.884866
2.51378,-1.22919
3.13027,-1.56743
3.70271,-1.8994
4.23255,-2.2251
4.72162,-2.54473
5.17209,-2.85869
5.58642,-3.16755
5.96733,-3.472
6.31768,-3.77284
6.64044,-4.07093
6.93855,-4.3671
7.21491,-4.66216
7.47226,-4.95684
7.71317,-5.25175
7.93999,-5.54735
8.15479,-5.84395
8.35939,-6.14167
8.55531,-6.44047
8.74378,-6.74011
8.92579,-7.0402
9.10206,-7.34015
9.27307,-7.63926
9.43913,-7.93668
9.60035,-8.23144
9.75668,-8.5225
9.90797,-8.80872
10.054,-9.08894
10.1943,-9.36194
10.3287,-9.62649
10.4567,-9.88139
10.5778,-10.1254
10.6916,-10.3575
10.7977,-10.5764
10.8957,-10.7813
10.9853,-10.9711
11.066,-11.145
11.1375,-11.3023
11.1997,-11.4425
11.2523,-11.5649
11.2951,-11.6694
11.328,-11.7558
11.3509,-11.8239
11.3638,-11.8739
11.3668,-11.906
11.3598,-11.9207
11.3432,-11.9184
11.3169,-11.8998
11.2813,-11.8655
11.2366,-11.8165
11.183,-11.7536
11.1211,-11.6779
11.051,-11.5903
10.9731,-11.4919
10.888,-11.3838
10.7961,-11.267
10.6977,-11.1428
10.5934,-11.0121
10.4836,-10.8759
10.3687,-10.7353
10.2494,-10.5912
10.1259,-10.4443
9.99882,-10.2956
9.86852,-10.1458
9.73543,-9.99548
9.59996,-9.84528
9.46248,-9.6957
9.32335,-9.54717
9.1829,-9.40006
9.04143,-9.25468
8.89922,-9.11124
8.75651,-8.96994
8.61353,-8.83089
8.47047,-8.69415
8.3275,-8.55975
8.18476,-8.42768
8.04237,-8.29788
7.90041,-8.17027
7.75897,-8.04475
7.61808,-7.92119
7.47779,-7.79945
7.3381,-7.67938
7.19902,-7.56082
7.06053,-7.44359
6.9226,-7.32754
6.7852,-7.21249
6.64828,-7.09828
6.51179,-6.98474
6.37568,-6.87173
6.23987,-6.75909
6.10432,-6.64669
5.96896,-6.53438
5.83371,-6.42207
5.69852,-6.30962
5.56332,-6.19694
5.42805,-6.08394
5.29265,-5.97053
5.15707,-5.85665
5.02125,-5.74221
4.88516,-5.62718
4.74874,-5.5115
4.61195,-5.39513
4.47477,-5.27803
4.33715,-5.16018
4.19908,-5.04155
4.06054,-4.92213
3.9215,-4.80191
3.78195,-4.68087
3.64188,-4.55902
3.50128,-4.43635
3.36016,-4.31287
3.21851,-4.18857
3.07633,-4.06348
2.93363,-3.93759
2.79042,-3.81091
2.64671,-3.68346
2.50251,-3.55526
2.35783,-3.42631
2.2127,-3.29663
2.06711,-3.16624
1.92111,-3.03515
1.7747,-2.90338
1.6279,-2.77095
1.48074,-2.63787
1.33323,-2.50416
1.18541,-2.36985
